company_id,country,sector,employees,annual_revenue,tech_adoption_level,main_challenges,digital_tools_used,growth_last_yr,funding_status,female_owned,remote_work_policy
1,Ghana,Education,130,386441,Low,Awareness,"CRM, WhatsApp, E-commerce",11,Seed,No,None
2,Rwanda,Farming,367,383576,Low,Internet,WhatsApp,27,Series A,Yes,Partial
3,Kenya,Farming,87,496528,Low,"Awareness, Internet","Google My Business, Mobile money, POS",1,Bootstrapped,No,Full
4,Kenya,Manufacturing,131,360550,High,Regulation,"Google My Business, E-commerce, POS",6,None,Yes,Full
5,Nigeria,Logistics,136,173801,High,"Regulation, Skills",E-commerce,44,Series A,Yes,Partial
6,Nigeria,Logistics,104,323189,High,"Skills, Awareness","CRM, E-commerce, POS",25,Bootstrapped,Yes,Partial
7,Nigeria,Manufacturing,242,271548,High,"Skills, Awareness","WhatsApp, POS, Google My Business",38,Series A,No,Partial
8,Ghana,Finance,261,312322,High,"Awareness, Regulation",POS,-2,None,Yes,None
9,Kenya,Logistics,181,285769,High,Cost,"Mobile money, POS",-3,Series A,No,Partial
10,Nigeria,Retail,191,298459,Low,"Awareness, Cost","Mobile money, CRM",3,Bootstrapped,No,Full
11,Kenya,Education,32,50147,High,Regulation,Mobile money,50,Seed,Yes,Full
12,Rwanda,Farming,50,431591,Medium,"Awareness, Cost",Mobile money,4,Series A,No,Partial
13,Ghana,Retail,392,153562,High,"Regulation, Cost",CRM,47,Bootstrapped,No,Full
14,South Africa,Logistics,386,137209,High,"Skills, Regulation","POS, CRM",34,Series A,No,None
15,Rwanda,Manufacturing,439,351170,Medium,Skills,"WhatsApp, POS",-1,Seed,No,Full
16,Kenya,Logistics,127,29902,Medium,"Regulation, Skills","E-commerce, Mobile money",21,Seed,Yes,Full
17,Nigeria,Manufacturing,252,405232,High,"Cost, Regulation","Mobile money, CRM",41,Bootstrapped,No,Full
18,Nigeria,Retail,229,35853,Low,Skills,"POS, Google My Business",18,Series A,No,None
19,Kenya,Logistics,96,304960,Low,"Cost, Regulation","E-commerce, WhatsApp, Mobile money",32,None,Yes,Full
20,Ghana,Finance,67,263043,High,"Regulation, Internet",POS,47,Bootstrapped,No,None
21,Rwanda,Manufacturing,257,71880,Low,Internet,"Mobile money, E-commerce, POS",32,Seed,No,None
22,Ghana,Manufacturing,284,76683,High,Cost,"Google My Business, CRM, WhatsApp",25,None,No,Partial
23,Ghana,Education,406,208531,High,"Skills, Regulation",CRM,18,None,No,Partial
24,Ghana,Manufacturing,200,395602,Medium,"Awareness, Regulation",Google My Business,39,Seed,No,None
25,Kenya,Education,282,432862,Low,"Internet, Regulation",E-commerce,11,Seed,No,Full
26,South Africa,Finance,486,112133,Low,Skills,"Mobile money, Google My Business",24,Series A,Yes,Partial
27,Ghana,Retail,130,60843,High,Skills,Mobile money,37,Series A,No,Partial
28,Kenya,Education,497,133389,High,Cost,"E-commerce, POS, CRM",19,Bootstrapped,Yes,None
29,South Africa,Farming,391,433381,Medium,"Skills, Cost","Google My Business, CRM, POS",41,None,No,None
30,South Africa,Manufacturing,413,126936,High,Skills,"POS, WhatsApp",48,Bootstrapped,No,Full
31,Rwanda,Retail,321,280125,Medium,"Skills, Internet","E-commerce, Google My Business",40,None,Yes,None
32,Ghana,Farming,419,57111,Low,"Regulation, Skills","Mobile money, WhatsApp",36,Bootstrapped,No,Full
33,Nigeria,Logistics,40,403351,Medium,"Regulation, Skills","WhatsApp, Mobile money, POS",47,None,Yes,Partial
34,Rwanda,Finance,442,320703,High,Cost,"POS, Mobile money",17,Seed,Yes,Partial
35,South Africa,Manufacturing,426,26869,Medium,"Skills, Cost","POS, Mobile money, WhatsApp",33,None,No,Full
36,Kenya,Education,32,396360,High,"Regulation, Skills","Mobile money, CRM, POS",44,None,No,Full
37,Rwanda,Education,10,381519,High,Awareness,"Google My Business, E-commerce, WhatsApp",43,Seed,Yes,None
38,Ghana,Logistics,442,475374,Medium,Awareness,"Google My Business, Mobile money, E-commerce",11,Bootstrapped,Yes,None
39,Ghana,Education,221,46334,High,Internet,POS,44,Seed,Yes,None
40,Rwanda,Farming,399,282194,High,Regulation,Mobile money,14,None,No,None
41,Nigeria,Manufacturing,390,74593,Low,"Skills, Cost","CRM, POS",31,None,No,None
42,Rwanda,Retail,288,397970,High,Regulation,"POS, WhatsApp, E-commerce",-1,Bootstrapped,Yes,Partial
43,Ghana,Manufacturing,342,378764,Low,"Cost, Awareness",Mobile money,32,Series A,No,Full
44,Kenya,Education,226,294130,High,Skills,"WhatsApp, Google My Business",22,None,No,Partial
45,Nigeria,Manufacturing,41,157274,Low,"Internet, Awareness","Google My Business, CRM",18,Bootstrapped,Yes,Partial
46,Rwanda,Logistics,442,289516,High,"Internet, Cost","Mobile money, E-commerce",43,Series A,Yes,Full
47,Kenya,Logistics,80,83312,Medium,Cost,CRM,-1,None,Yes,Partial
48,Kenya,Logistics,295,11038,Low,Regulation,POS,37,None,Yes,Full
49,South Africa,Farming,172,240111,Low,"Cost, Skills","POS, Mobile money, CRM",-4,Series A,Yes,Partial
50,Kenya,Manufacturing,302,126229,High,"Cost, Internet","E-commerce, CRM, POS",5,None,No,Partial
51,Ghana,Farming,217,199093,Medium,"Awareness, Internet",Google My Business,36,Seed,No,Full
52,Ghana,Logistics,8,122132,High,"Skills, Regulation","Google My Business, POS",45,Series A,No,Full
53,Rwanda,Farming,82,76680,Medium,Cost,"POS, Google My Business",4,Bootstrapped,Yes,Full
54,South Africa,Farming,433,339550,High,"Cost, Skills","POS, Google My Business",11,Seed,No,Full
55,Rwanda,Manufacturing,459,233916,Low,"Internet, Skills","Google My Business, E-commerce",38,Bootstrapped,No,None
56,Kenya,Logistics,493,333435,High,"Internet, Regulation","POS, CRM",22,Bootstrapped,Yes,Partial
57,South Africa,Logistics,380,78592,Medium,Skills,"Google My Business, POS, E-commerce",43,Seed,Yes,Full
58,Rwanda,Logistics,206,121385,Medium,"Awareness, Cost","WhatsApp, POS, Google My Business",16,None,Yes,Partial
59,Rwanda,Finance,211,188510,High,"Regulation, Skills","POS, CRM",43,None,No,None
60,Kenya,Education,450,351367,Medium,Skills,E-commerce,6,Series A,Yes,None
61,Ghana,Manufacturing,79,116240,High,"Awareness, Skills",WhatsApp,7,None,No,Partial
62,South Africa,Retail,465,388344,Low,Awareness,"Mobile money, Google My Business, POS",20,Seed,No,None
63,Kenya,Farming,17,223933,Medium,Awareness,"WhatsApp, CRM",50,Seed,Yes,Partial
64,South Africa,Finance,243,206344,High,"Internet, Skills","CRM, WhatsApp",1,Series A,No,None
65,Ghana,Retail,136,361026,High,Regulation,"Mobile money, WhatsApp",15,None,No,Full
66,South Africa,Farming,237,173843,Low,Internet,"CRM, WhatsApp",-3,Bootstrapped,Yes,None
67,Kenya,Finance,317,187050,Medium,"Skills, Cost",E-commerce,-4,Bootstrapped,No,Partial
68,Nigeria,Finance,91,330920,High,"Regulation, Awareness","CRM, POS",31,Seed,Yes,Full
69,Nigeria,Logistics,82,164234,High,"Awareness, Cost",CRM,24,Seed,No,None
70,Kenya,Retail,220,343193,Medium,Awareness,"CRM, Mobile money",0,None,Yes,Partial
71,South Africa,Farming,200,474590,Low,"Awareness, Internet","E-commerce, Mobile money",-2,Series A,No,Partial
72,Kenya,Education,233,160286,Low,"Cost, Skills",POS,9,None,Yes,Full
73,Nigeria,Farming,136,227829,Low,Internet,"Google My Business, CRM, Mobile money",9,None,No,None
74,Nigeria,Retail,81,352744,High,"Awareness, Regulation","WhatsApp, Mobile money",20,Seed,No,Full
75,Nigeria,Logistics,170,420340,Low,Regulation,E-commerce,16,Seed,No,None
76,Kenya,Education,169,382803,Medium,"Regulation, Awareness","POS, CRM, WhatsApp",36,None,Yes,Partial
77,South Africa,Manufacturing,452,459472,Medium,Skills,CRM,45,Series A,Yes,Partial
78,Ghana,Logistics,271,428629,Medium,Cost,CRM,4,Bootstrapped,No,Full
79,South Africa,Finance,181,278895,High,Regulation,"WhatsApp, E-commerce, POS",36,Bootstrapped,Yes,Full
80,Kenya,Education,174,16927,Medium,"Internet, Awareness","Mobile money, Google My Business, WhatsApp",27,Bootstrapped,No,None
81,Ghana,Manufacturing,303,289831,Medium,"Awareness, Internet","E-commerce, Google My Business, WhatsApp",22,None,Yes,None
82,Ghana,Finance,73,310093,Medium,"Regulation, Cost","WhatsApp, E-commerce, CRM",2,Bootstrapped,No,Partial
83,Rwanda,Logistics,7,165315,Medium,"Skills, Internet",E-commerce,-4,None,No,None
84,Rwanda,Logistics,41,356688,Medium,"Awareness, Cost","E-commerce, WhatsApp",44,Seed,Yes,Full
85,Rwanda,Retail,417,55345,High,"Awareness, Skills",Mobile money,-2,Bootstrapped,No,Full
86,Ghana,Education,173,177915,Medium,Internet,POS,14,Seed,No,None
87,Ghana,Logistics,49,265434,Low,Cost,"WhatsApp, Mobile money, Google My Business",9,Bootstrapped,No,Full
88,Ghana,Finance,98,204774,Medium,Cost,Google My Business,42,Bootstrapped,No,Partial
89,Nigeria,Finance,138,455867,High,"Skills, Internet",POS,44,None,No,Partial
90,South Africa,Logistics,445,370301,High,Internet,POS,11,None,Yes,Full
91,Rwanda,Farming,213,241929,Medium,"Awareness, Internet",E-commerce,1,Bootstrapped,Yes,Partial
92,Ghana,Education,373,413784,High,Cost,"Google My Business, POS, WhatsApp",16,Bootstrapped,No,Full
93,South Africa,Education,47,149876,Medium,Cost,"Mobile money, WhatsApp, Google My Business",47,Bootstrapped,No,Partial
94,Ghana,Farming,188,239964,Low,Skills,"Mobile money, E-commerce",9,Series A,No,Full
95,Kenya,Retail,410,480165,High,Regulation,"WhatsApp, E-commerce, Google My Business",30,Seed,Yes,Full
96,South Africa,Education,17,480316,Low,Skills,CRM,28,Bootstrapped,No,None
97,Nigeria,Education,125,230603,Medium,Awareness,Google My Business,14,None,Yes,Full
98,Ghana,Logistics,222,470025,Low,Internet,"WhatsApp, POS",38,Series A,No,Partial
99,Nigeria,Manufacturing,433,320599,Medium,"Awareness, Internet",E-commerce,16,Seed,Yes,Full
100,Nigeria,Finance,489,148886,Low,Cost,"Mobile money, WhatsApp",29,None,Yes,None
101,Ghana,Finance,167,243136,Low,Internet,"Google My Business, Mobile money, POS",37,Series A,No,Partial
102,Kenya,Manufacturing,156,208970,Low,"Awareness, Cost","Google My Business, POS, Mobile money",3,Series A,Yes,Partial
103,Kenya,Education,60,30810,High,Regulation,"WhatsApp, Google My Business",35,Series A,Yes,None
104,Nigeria,Farming,421,424936,High,Cost,CRM,21,Bootstrapped,Yes,Full
105,South Africa,Farming,347,118495,High,Internet,Google My Business,38,Seed,Yes,Partial
106,Nigeria,Education,452,266157,High,Skills,CRM,-4,None,Yes,None
107,Kenya,Farming,114,393082,Medium,Cost,WhatsApp,1,Series A,No,None
108,Ghana,Manufacturing,40,195960,Low,"Regulation, Cost",CRM,6,None,Yes,None
109,Kenya,Logistics,382,406793,Low,"Skills, Internet","Mobile money, WhatsApp",-5,Series A,Yes,Full
110,South Africa,Farming,218,449608,Low,"Regulation, Skills",WhatsApp,40,None,No,Partial
111,Rwanda,Finance,30,258588,High,Internet,"WhatsApp, Google My Business",50,Series A,No,None
112,South Africa,Farming,468,275525,High,"Awareness, Regulation",Mobile money,6,Bootstrapped,No,None
113,Kenya,Farming,214,290473,Low,"Skills, Cost","CRM, Google My Business",9,Seed,Yes,None
114,Kenya,Finance,344,56361,Low,Internet,"E-commerce, POS",8,Series A,No,Partial
115,Kenya,Finance,464,255570,Low,Internet,"POS, WhatsApp, CRM",4,None,Yes,Full
116,Kenya,Logistics,11,48998,Medium,"Internet, Awareness","E-commerce, WhatsApp, CRM",4,Seed,No,Full
117,Kenya,Education,252,131242,High,"Cost, Regulation","CRM, Google My Business, E-commerce",46,Series A,Yes,None
118,Nigeria,Logistics,82,223159,High,Internet,E-commerce,14,Series A,Yes,Partial
119,South Africa,Manufacturing,46,192023,High,Awareness,E-commerce,25,Bootstrapped,Yes,None
120,South Africa,Farming,460,355924,High,"Skills, Awareness","WhatsApp, Google My Business",16,None,No,None
121,Nigeria,Manufacturing,6,281825,Medium,"Regulation, Internet","Google My Business, E-commerce, CRM",41,Seed,No,Full
122,Ghana,Manufacturing,392,17479,Low,"Skills, Internet","Mobile money, Google My Business, CRM",39,Series A,No,None
123,Rwanda,Logistics,311,232970,Medium,Internet,"WhatsApp, E-commerce",18,None,Yes,Partial
124,Kenya,Manufacturing,307,32796,Low,"Regulation, Skills","Google My Business, POS, WhatsApp",40,Series A,No,Partial
125,Rwanda,Retail,111,69791,Medium,"Regulation, Cost",POS,31,Seed,No,Full
126,Kenya,Logistics,197,305165,Medium,Awareness,"E-commerce, Mobile money, POS",23,Seed,No,Full
127,Nigeria,Logistics,344,124577,High,"Internet, Skills",Google My Business,37,Bootstrapped,No,None
128,South Africa,Logistics,283,131581,Medium,"Internet, Skills","WhatsApp, POS, CRM",24,Series A,Yes,Full
129,Rwanda,Logistics,34,169062,High,Regulation,WhatsApp,-5,Seed,Yes,Partial
130,Ghana,Education,356,42210,High,"Regulation, Skills","Mobile money, WhatsApp",-1,Bootstrapped,Yes,None
131,South Africa,Retail,56,392874,High,Skills,"CRM, Google My Business",28,Series A,Yes,Full
132,Rwanda,Farming,313,497114,High,"Regulation, Internet",CRM,32,Bootstrapped,No,Partial
133,South Africa,Retail,314,83831,Low,"Skills, Cost",Google My Business,23,Series A,Yes,Full
134,Rwanda,Retail,112,417224,Low,"Cost, Regulation","Mobile money, CRM, WhatsApp",47,None,Yes,Partial
135,Rwanda,Farming,306,224830,Low,Internet,E-commerce,15,None,Yes,Full
